certainly,frequently,likely,maybe,never,often,rarely,possibly,probably,unlikely
100,60,95,40,0,80,15,35,55,15
100,70,80,60,0,75,15,70,80,20
100,70,50,40,0,60,10,40,80,10
99,70,75,40,0,80,30,60,70,10
100,80,65,50,0,80,15,20,75,10
90,80,70,60,0,10,30,50,75,10
100,75,60,50,0,85,25,40,90,15
100,70,80,35,0,40,10,30,90,20
100,80,60,50,0,85,15,35,65,5
100,80,60,50,0,80,20,30,40,10
90,80,65,55,0,75,15,30,85,20
100,75,65,50,0,65,20,20,85,15
100,80,60,50,0,60,30,40,60,20
100,80,65,50,0,80,15,25,60,25
95,75,65,50,0,70,10,35,70,20
96,67,60,45,13,55,5,65,70,30
100,75,60,50,0,60,25,30,75,5
100,90,70,50,0,80,20,35,75,10
100,75,60,50,0,60,30,40,70,10
100,85,70,50,0,75,25,50,67,30
100,70,70,50,0,65,10,60,80,15
99,85,75,50,0,70,10,40,85,10
100,80,75,60,0,80,10,55,85,15
100,80,65,50,0,45,25,30,80,10
95,60,70,50,0,70,25,40,60,30
100,65,90,50,0,80,30,55,99,15
100,75,70,50,0,80,20,40,65,25
90,75,70,50,5,51,25,20,65,30
100,80,70,50,0,65,20,40,75,30
100,80,65,50,0,80,15,40,90,30
80,70,60,50,0,60,20,30,75,10
97,70,85,50,0,65,20,60,80,10
98,75,70,51,0,32,8,40,55,22
100,80,75,50,0,60,10,50,80,25
90,70,60,50,10,80,20,55,67,25
100,75,60,40,5,80,16,35,90,20
100,85,65,50,0,66,15,33,66,25
100,80,90,60,0,70,20,50,65,10
100,80,70,45,0,75,10,40,70,5
100,70,70,60,0,70,20,60,80,20
100,70,60,50,0,80,10,65,75,5
100,80,70,50,0,70,20,40,70,30
100,80,70,50,0,60,0,50,60,20
100,80,75,50,0,77,5,25,90,10
100,85,70,50,0,60,10,55,75,30
100,80,70,50,0,70,20,30,70,30
100,75,70,50,0,60,10,40,60,20
100,75,60,50,0,25,15,30,80,20
100,90,80,50,0,75,10,25,85,15
100,90,85,50,0,80,25,35,60,40
100,80,60,50,0,30,10,50,65,20
100,80,70,40,0,80,20,30,70,10
100,80,70,50,0,75,20,40,65,25
100,80,70,40,0,80,30,10,60,5
95,65,70,50,0,55,20,5,85,3
100,90,70,50,0,75,5,20,75,55
100,66,60,50,0,80,10,25,75,10
100,90,85,65,0,75,10,60,87,10
80,70,60,50,0,70,20,40,70,25
100,75,60,50,0,80,30,60,70,20
100,75,50,50,0,40,5,40,40,20
100,55,75,35,0,65,25,52,85,0
100,70,70,50,0,65,20,30,55,15
100,70,80,40,0,65,25,30,90,20
100,40,20,10,0,60,20,20,7,5
100,80,75,50,0,60,10,20,80,25
95,75,70,50,0,65,10,30,60,20
100,90,75,50,0,70,5,45,85,15
100,60,60,50,0,55,10,50,65,20
100,75,75,50,0,75,5,50,90,5
100,70,80,60,0,75,20,65,90,30
100,80,70,65,0,70,10,40,60,20
90,40,80,50,0,70,10,60,40,30
100,80,70,50,0,75,10,25,75,10
100,75,60,50,0,60,20,25,60,10
90,70,75,50,5,80,20,60,80,30
100,80,75,50,0,80,5,25,75,10
100,90,85,60,0,75,40,55,70,25
100,80,75,60,0,80,30,50,65,10
100,80,70,50,0,60,20,10,60,30
100,80,70,50,0,70,20,40,60,30
90,80,75,60,50,70,15,40,60,10
100,80,70,50,0,80,20,50,80,10
100,90,75,50,0,60,25,10,60,5
100,65,55,50,0,60,20,40,60,30
100,78,67,50,0,70,20,40,70,20
90,80,70,50,0,40,20,45,35,10
95,70,60,40,0,80,10,25,65,5
100,85,70,50,0,60,30,15,90,5
100,75,75,50,0,75,20,40,70,30
100,70,80,50,0,60,20,30,85,10
100,67,80,50,0,60,15,35,70,20
95,80,75,60,5,65,10,50,55,10
100,75,75,50,0,80,10,40,80,25
100,90,70,50,0,80,20,40,85,15
100,80,60,50,0,70,20,50,75,20
100,80,70,40,0,70,20,60,80,10
90,60,70,50,0,80,20,40,75,25
100,90,80,50,0,85,15,50,75,20
100,75,75,50,0,75,25,50,51,25
100,90,70,50,0,80,30,40,85,25
100,90,75,50,0,60,10,50,75,5
100,75,60,50,0,80,20,25,65,25
100,80,75,50,0,75,20,50,80,20
100,70,60,50,0,45,25,40,65,20
100,80,75,50,0,60,10,50,75,25
100,80,60,40,0,70,20,40,80,15
100,75,60,50,0,80,25,25,60,10
100,90,60,50,10,70,30,40,80,20
100,80,70,50,0,75,15,50,60,30
100,80,70,50,0,80,5,40,75,20
100,85,75,50,0,70,25,45,75,15
100,70,65,50,0,80,10,25,65,15
100,75,60,45,0,80,5,30,70,10
90,75,65,50,0,80,25,33.3333,70,15
99,80,60,40,0,60,30,15,70,20
100,75,60,50,0,80,25,60,80,20
100,80,65,50,0,60,20,45,75,15
100,80,70,50,0,70,30,40,70,20
100,80,75,50,0,80,20,50,65,10
100,74,95,50,0,60,0,60,80,35
100,80,75,40,0,75,10,25,75,10
100,70,65,50,0,78,30,40,71,30
80,65,60,40,10,60,15,30,40,25
100,80,65,35,0,70,20,10,60,10
100,80,60,50,0,90,10,55,65,20
100,75,60,50,0,80,20,40,65,33
100,80,70,50,0,65,15,20,85,10
100,70,70,50,0,60,30,50,75,25
90,80,70,50,0,75,10,30,65,20
100,75,60,50,0,80,10,40,30,20
100,70,67,50,0,65,27,40,80,24
100,75,75,50,0,75,10,60,90,25
95,74,65,54,0,78,23,49,61,14
95,70,60,40,10,75,30,55,55,20
99,70,40,20,0,60,10,20,51,15
100,25,60,50,0,75,10,40,65,5
40,50,80,85,70,40,30,90,90,50
90,75,50,40,10,70,15,25,80,10
100,70,60,40,0,75,25,15,75,5
99,80,60,50,1,70,20,40,75,25
100,75,60,50,0,75,15,40,70,40
100,70,80,40,0,30,10,45,65,85
100,50,70,20,,,,,,
100,80,65,50,0,75,25,40,60,30
100,90,80,50,0,80,20,40,60,10
65,70,38,50,0,45,20,25,65,5
